Descrição,Esp. (mm),Dens. Sup. (kg/m2),63,125,250,500,1000,2000,4000,8000
"Janela de vidro duplo com faces de 6 mm em esquadrias independentes, cavidade de 188 mm, com manta absorvente entre o caixilho e o recesso na parede (Bistafa, 2018)",200,34,26,33,39,42,48,50,57,60
"Janela de vidro duplo com faces de 6 mm e 9 mm em esquadrias independentes, cavidade de 200 mm, com manta absorvente entre o caixilho e o recesso na parede (Bistafa, 2018)",215,42,27,36,45,58,59,55,66,70
"Janela de vidro duplo com faces de 3 mm, cavidade de 55 mm (Bistafa, 2018)",63,25,,13,25,35,44,49,53,
"Janela de vidro duplo com faces de 6 mm, cavidade de 55 mm (Bistafa, 2018)",70,35,,27,32,36,43,38,51,
"Janela de vidro duplo com faces de 6 mm e 5 mm, cavidade de 100 mm (Bistafa, 2018)",112,34,,27,37,45,56,56,60,
"Janela de vidro duplo com faces de 6 mm e 8 mm, cavidade de 100 mm (Bistafa, 2018)",115,40,,35,47,53,55,50,55,
"Porta com faces coladas em estrutura com interior vazado, montada normalmente em batente (Bistafa, 2018)",43,9,1,12,13,14,16,18,24,26
"Porta em madeira sólida, montada normalmente em batente (Bistafa, 2018)",43,28,13,17,21,26,29,31,34,32
"Porta acústica típica, faces em chapa de aço pesada, com material absorvente na cavidade vedada em batente metálico (Bistafa, 2018)",100,,37,36,39,44,49,54,57,60
"Porta com faces em chapa de aço (Bistafa, 2018)",35,16,,26,26,28,32,32,40,
"Porta com faces em material plástico laminado, bem encaixada no batente (Bistafa, 2018)",44,20,,14,18,17,23,18,19,
"Porta de madeira envernizada, bem encaixada no batente (Bistafa, 2018)",44,25,,22,26,29,26,26,32,
"Porta metálica com faces amortecidas, cavidade com material absorvente, vedada no batente (Esp. 100 mm) (Bistafa, 2018)",100,94,,43,47,51,54,52,50,
"Porta metálica com faces amortecidas, cavidade com material absorvente, vedada no batente (Esp. 180 mm) (Bistafa, 2018)",180,140,,46,51,59,62,65,62,
"Porta metálica com faces amortecidas, cavidade com material absorvente, vedada no batente (Esp. 250 mm) (Bistafa, 2018)",250,181,,48,54,62,68,66,74,
"Duas portas, separadas por câmara de ar de 180 mm, sendo cada face das portas em chapa de aço de 1,6 mm, e com as cavidades de cada uma das portas preenchidas com material absorvente (Bistafa, 2018)",270,86,,50,56,59,67,60,70,
"Porta de madeira maciça (Esp. 54 mm) (Bistafa, 2018)",54,20,,20,25,22,27,31,35,
